# index, name
0,Aemon
1,Grenn
2,Samwell
3,Aerys
4,Jaime
5,Robert
6,Tyrion
7,Tywin
8,Alliser
9,Mance
10,Amory
11,Oberyn
12,Arya
13,Anguy
14,Beric
15,Bran
16,Brynden
17,Cersei
18,Gendry
19,Gregor
20,Joffrey
21,Jon
22,Rickon
23,Roose
24,Sandor
25,Thoros
26,Balon
27,Loras
28,Belwas
29,Barristan
30,Illyrio
31,Hodor
32,Jojen
33,Luwin
34,Meera
35,Nan
36,Theon
37,Brienne
38,Bronn
39,Podrick
40,Lothar
41,Walder
42,Catelyn
43,Edmure
44,Hoster
45,Jeyne
46,Lysa
47,Petyr
48,Robb
49,Roslin
50,Sansa
51,Stannis
52,Elia
53,Ilyn
54,Meryn
55,Pycelle
56,Shae
57,Varys
58,Craster
59,Karl
60,Daario
61,Drogo
62,Irri
63,Daenerys
64,Aegon
65,Jorah
66,Kraznys
67,Missandei
68,Rakharo
69,Rhaegar
70,Viserys
71,Worm
72,Davos
73,Cressen
74,Salladhor
75,Eddard
76,Eddison
77,Gilly
78,Qyburn
79,Renly
80,Tommen
81,Janos
82,Bowen
83,Kevan
84,Margaery
85,Myrcella
86,Dalla
87,Melisandre
88,Orell
89,Qhorin
90,Rattleshirt
91,Styr
92,Val
93,Ygritte
94,Jon Arryn
95,Lancel
96,Olenna
97,Marillion
98,Robert Arryn
99,Ellaria
100,Mace
101,Rickard
102,Ramsay
103,Chataya
104,Shireen
105,Doran
106,Walton
